Country Name,Country Code,Series Name,Series Code,2010 [YR2010]
Australia,AUS,Arable land (hectares per person),AG.LND.ARBL.HA.PC,1.161584985
Australia,AUS,"Educational attainment, at least Bachelor's or equivalent, population 25+, total (%) (cumulative)",SE.TER.CUAT.BA.ZS,..
Australia,AUS,"Employment to population ratio, 15+, total (%) (national estimate)",SL.EMP.TOTL.SP.NE.ZS,61.998
Austria,AUT,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1.837093677
Austria,AUT,"Population ages 15-64, total",SP.POP.1564.TO,5648587
Austria,AUT,Arable land (hectares per person),AG.LND.ARBL.HA.PC,0.163067574
Austria,AUT,"Educational attainment, at least Bachelor's or equivalent, population 25+, total (%) (cumulative)",SE.TER.CUAT.BA.ZS,..
Austria,AUT,"Employment to population ratio, 15+, total (%) (national estimate)",SL.EMP.TOTL.SP.NE.ZS,57.343
Azerbaijan,AZE,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,5.048944513
Azerbaijan,AZE,"Population ages 15-64, total",SP.POP.1564.TO,6385040
Azerbaijan,AZE,Arable land (hectares per person),AG.LND.ARBL.HA.PC,0.208088239
Azerbaijan,AZE,"Educational attainment, at least Bachelor's or equivalent, population 25+, total (%) (cumulative)",SE.TER.CUAT.BA.ZS,..
Azerbaijan,AZE,"Employment to population ratio, 15+, total (%) (national estimate)",SL.EMP.TOTL.SP.NE.ZS,61.6
"Bahamas, The",BHS,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1.538662487
"Bahamas, The",BHS,"Population ages 15-64, total",SP.POP.1564.TO,251619
"Bahamas, The",BHS,Arable land (hectares per person),AG.LND.ARBL.HA.PC,0.018753081
"Bahamas, The",BHS,"Educational attainment, at least Bachelor's or equivalent, population 25+, total (%) (cumulative)",SE.TER.CUAT.BA.ZS,15.22787952
"Bahamas, The",BHS,"Employment to population ratio, 15+, total (%) (national estimate)",SL.EMP.TOTL.SP.NE.ZS,..
Bahrain,BHR,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,4.334299173
Bahrain,BHR,"Population ages 15-64, total",SP.POP.1564.TO,939534
Bahrain,BHR,Arable land (hectares per person),AG.LND.ARBL.HA.PC,0.001697366
Bahrain,BHR,"Educational attainment, at least Bachelor's or equivalent, population 25+, total (%) (cumulative)",SE.TER.CUAT.BA.ZS,9.479330063
Bahrain,BHR,"Employment to population ratio, 15+, total (%) (national estimate)",SL.EMP.TOTL.SP.NE.ZS,71.25
Bangladesh,BGD,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,5.571788185
Bangladesh,BGD,"Population ages 15-64, total",SP.POP.1564.TO,92256484
Bangladesh,BGD,Arable land (hectares per person),AG.LND.ARBL.HA.PC,0.052503135
Bangladesh,BGD,"Educational attainment, at least Bachelor's or equivalent, population 25+, total (%) (cumulative)",SE.TER.CUAT.BA.ZS,..
Bangladesh,BGD,"Employment to population ratio, 15+, total (%) (national estimate)",SL.EMP.TOTL.SP.NE.ZS,56.597
Barbados,BRB,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,-2.272188073
Barbados,BRB,"Population ages 15-64, total",SP.POP.1564.TO,187188
Barbados,BRB,Arable land (hectares per person),AG.LND.ARBL.HA.PC,0.04368227
Barbados,BRB,"Educational attainment, at least Bachelor's or equivalent, population 25+, total (%) (cumulative)",SE.TER.CUAT.BA.ZS,..
Barbados,BRB,"Employment to population ratio, 15+, total (%) (national estimate)",SL.EMP.TOTL.SP.NE.ZS,59.48
Belarus,BLR,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,7.798266835
Belarus,BLR,"Population ages 15-64, total",SP.POP.1564.TO,6709807
Belarus,BLR,Arable land (hectares per person),AG.LND.ARBL.HA.PC,0.583624601
Belarus,BLR,"Educational attainment, at least Bachelor's or equivalent, population 25+, total (%) (cumulative)",SE.TER.CUAT.BA.ZS,..
Belarus,BLR,"Employment to population ratio, 15+, total (%) (national estimate)",SL.EMP.TOTL.SP.NE.ZS,..
Belgium,BEL,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,2.864292708
Belgium,BEL,"Population ages 15-64, total",SP.POP.1564.TO,7176760
Belgium,BEL,Arable land (hectares per person),AG.LND.ARBL.HA.PC,0.076544759
Belgium,BEL,"Educational attainment, at least Bachelor's or equivalent, population 25+, total (%) (cumulative)",SE.TER.CUAT.BA.ZS,..
Belgium,BEL,"Employment to population ratio, 15+, total (%) (national estimate)",SL.EMP.TOTL.SP.NE.ZS,49.586
Belize,BLZ,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1.239952915
Belize,BLZ,"Population ages 15-64, total",SP.POP.1564.TO,195097
Belize,BLZ,Arable land (hectares per person),AG.LND.ARBL.HA.PC,0.232842605
Belize,BLZ,"Educational attainment, at least Bachelor's or equivalent, population 25+, total (%) (cumulative)",SE.TER.CUAT.BA.ZS,5.718500137
Belize,BLZ,"Employment to population ratio, 15+, total (%) (national estimate)",SL.EMP.TOTL.SP.NE.ZS,..
Benin,BEN,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,2.114064726
Benin,BEN,"Population ages 15-64, total",SP.POP.1564.TO,5018750
Benin,BEN,Arable land (hectares per person),AG.LND.ARBL.HA.PC,0.264670417
Benin,BEN,"Educational attainment, at least Bachelor's or equivalent, population 25+, total (%) (cumulative)",SE.TER.CUAT.BA.ZS,..
Benin,BEN,"Employment to population ratio, 15+, total (%) (national estimate)",SL.EMP.TOTL.SP.NE.ZS,74.52
Bermuda,BMU,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,-2.502878289
Bermuda,BMU,"Population ages 15-64, total",SP.POP.1564.TO,45886
Bermuda,BMU,Arable land (hectares per person),AG.LND.ARBL.HA.PC,0.004606597
Bermuda,BMU,"Educational attainment, at least Bachelor's or equivalent, population 25+, total (%) (cumulative)",SE.TER.CUAT.BA.ZS,28.32615089
Bermuda,BMU,"Employment to population ratio, 15+, total (%) (national estimate)",SL.EMP.TOTL.SP.NE.ZS,70.129
Bhutan,BTN,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,11.945896
Bhutan,BTN,"Population ages 15-64, total",SP.POP.1564.TO,460133
Bhutan,BTN,Arable land (hectares per person),AG.LND.ARBL.HA.PC,0.142590671
Bhutan,BTN,"Educational attainment, at least Bachelor's or equivalent, population 25+, total (%) (cumulative)",SE.TER.CUAT.BA.ZS,..
Bhutan,BTN,"Employment to population ratio, 15+, total (%) (national estimate)",SL.EMP.TOTL.SP.NE.ZS,65.89
Bolivia,BOL,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,4.126722591
Bolivia,BOL,"Population ages 15-64, total",SP.POP.1564.TO,6170180
Bolivia,BOL,Arable land (hectares per person),AG.LND.ARBL.HA.PC,0.414104293
Bolivia,BOL,"Educational attainment, at least Bachelor's or equivalent, population 25+, total (%) (cumulative)",SE.TER.CUAT.BA.ZS,..
Bolivia,BOL,"Employment to population ratio, 15+, total (%) (national estimate)",SL.EMP.TOTL.SP.NE.ZS,..
Bosnia and Herzegovina,BIH,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,0.86566926
Bosnia and Herzegovina,BIH,"Population ages 15-64, total",SP.POP.1564.TO,2662776
Bosnia and Herzegovina,BIH,Arable land (hectares per person),AG.LND.ARBL.HA.PC,0.263441831
Bosnia and Herzegovina,BIH,"Educational attainment, at least Bachelor's or equivalent, population 25+, total (%) (cumulative)",SE.TER.CUAT.BA.ZS,5.728680134
Bosnia and Herzegovina,BIH,"Employment to population ratio, 15+, total (%) (national estimate)",SL.EMP.TOTL.SP.NE.ZS,32.102
Botswana,BWA,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,10.12220912
Botswana,BWA,"Population ages 15-64, total",SP.POP.1564.TO,1296818
Botswana,BWA,Arable land (hectares per person),AG.LND.ARBL.HA.PC,0.123824859
Botswana,BWA,"Educational attainment, at least Bachelor's or equivalent, population 25+, total (%) (cumulative)",SE.TER.CUAT.BA.ZS,..
Botswana,BWA,"Employment to population ratio, 15+, total (%) (national estimate)",SL.EMP.TOTL.SP.NE.ZS,48.56
Brazil,BRA,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,7.528225818
Brazil,BRA,"Population ages 15-64, total",SP.POP.1564.TO,134182780
Brazil,BRA,Arable land (hectares per person),AG.LND.ARBL.HA.PC,0.261798247
Brazil,BRA,"Educational attainment, at least Bachelor's or equivalent, population 25+, total (%) (cumulative)",SE.TER.CUAT.BA.ZS,..
Brazil,BRA,"Employment to population ratio, 15+, total (%) (national estimate)",SL.EMP.TOTL.SP.NE.ZS,..
British Virgin Islands,VGB,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,..
British Virgin Islands,VGB,"Population ages 15-64, total",SP.POP.1564.TO,19839
British Virgin Islands,VGB,Arable land (hectares per person),AG.LND.ARBL.HA.PC,0.036289737
British Virgin Islands,VGB,"Educational attainment, at least Bachelor's or equivalent, population 25+, total (%) (cumulative)",SE.TER.CUAT.BA.ZS,..
British Virgin Islands,VGB,"Employment to population ratio, 15+, total (%) (national estimate)",SL.EMP.TOTL.SP.NE.ZS,..
Brunei Darussalam,BRN,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,2.598965746
Brunei Darussalam,BRN,"Population ages 15-64, total",SP.POP.1564.TO,279627
Brunei Darussalam,BRN,Arable land (hectares per person),AG.LND.ARBL.HA.PC,0.010099658
Brunei Darussalam,BRN,"Educational attainment, at least Bachelor's or equivalent, population 25+, total (%) (cumulative)",SE.TER.CUAT.BA.ZS,..
Brunei Darussalam,BRN,"Employment to population ratio, 15+, total (%) (national estimate)",SL.EMP.TOTL.SP.NE.ZS,..
Bulgaria,BGR,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1.555359513
Bulgaria,BGR,"Population ages 15-64, total",SP.POP.1564.TO,5015444
Bulgaria,BGR,Arable land (hectares per person),AG.LND.ARBL.HA.PC,0.430796748
Bulgaria,BGR,"Educational attainment, at least Bachelor's or equivalent, population 25+, total (%) (cumulative)",SE.TER.CUAT.BA.ZS,20.71764946
Bulgaria,BGR,"Employment to population ratio, 15+, total (%) (national estimate)",SL.EMP.TOTL.SP.NE.ZS,47.905
Burkina Faso,BFA,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,8.446281577
Burkina Faso,BFA,"Population ages 15-64, total",SP.POP.1564.TO,8328092
Burkina Faso,BFA,Arable land (hectares per person),AG.LND.ARBL.HA.PC,0.313212667
Burkina Faso,BFA,"Educational attainment, at least Bachelor's or equivalent, population 25+, total (%) (cumulative)",SE.TER.CUAT.BA.ZS,..
Burkina Faso,BFA,"Employment to population ratio, 15+, total (%) (national estimate)",SL.EMP.TOTL.SP.NE.ZS,..
Burundi,BDI,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,5.124159994
Burundi,BDI,"Population ages 15-64, total",SP.POP.1564.TO,4818278
Burundi,BDI,Arable land (hectares per person),AG.LND.ARBL.HA.PC,0.10409128
Burundi,BDI,"Educational attainment, at least Bachelor's or equivalent, population 25+, total (%) (cumulative)",SE.TER.CUAT.BA.ZS,..
Burundi,BDI,"Employment to population ratio, 15+, total (%) (national estimate)",SL.EMP.TOTL.SP.NE.ZS,..
Cabo Verde,CPV,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1.83641915
Cabo Verde,CPV,"Population ages 15-64, total",SP.POP.1564.TO,322461
Cabo Verde,CPV,Arable land (hectares per person),AG.LND.ARBL.HA.PC,0.095930255
Cabo Verde,CPV,"Educational attainment, at least Bachelor's or equivalent, population 25+, total (%) (cumulative)",SE.TER.CUAT.BA.ZS,..
Cabo Verde,CPV,"Employment to population ratio, 15+, total (%) (national estimate)",SL.EMP.TOTL.SP.NE.ZS,52.82
Cambodia,KHM,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,5.963078573
Cambodia,KHM,"Population ages 15-64, total",SP.POP.1564.TO,9229566
Cambodia,KHM,Arable land (hectares per person),AG.LND.ARBL.HA.PC,0.260938605
Cambodia,KHM,"Educational attainment, at least Bachelor's or equivalent, population 25+, total (%) (cumulative)",SE.TER.CUAT.BA.ZS,..
Cambodia,KHM,"Employment to population ratio, 15+, total (%) (national estimate)",SL.EMP.TOTL.SP.NE.ZS,84.098
Cameroon,CMR,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,2.899024721
Cameroon,CMR,"Population ages 15-64, total",SP.POP.1564.TO,10570734
Cameroon,CMR,Arable land (hectares per person),AG.LND.ARBL.HA.PC,0.311902041
Cameroon,CMR,"Educational attainment, at least Bachelor's or equivalent, population 25+, total (%) (cumulative)",SE.TER.CUAT.BA.ZS,..
Cameroon,CMR,"Employment to population ratio, 15+, total (%) (national estimate)",SL.EMP.TOTL.SP.NE.ZS,73.1
Canada,CAN,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,3.090806374
Canada,CAN,"Population ages 15-64, total",SP.POP.1564.TO,23592245
Canada,CAN,Arable land (hectares per person),AG.LND.ARBL.HA.PC,1.108281812
Canada,CAN,"Educational attainment, at least Bachelor's or equivalent, population 25+, total (%) (cumulative)",SE.TER.CUAT.BA.ZS,..
Canada,CAN,"Employment to population ratio, 15+, total (%) (national estimate)",SL.EMP.TOTL.SP.NE.ZS,61.569
Cayman Islands,CYM,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,-2.715635262
Cayman Islands,CYM,"Population ages 15-64, total",SP.POP.1564.TO,41273
Cayman Islands,CYM,Arable land (hectares per person),AG.LND.ARBL.HA.PC,0.003698635
Cayman Islands,CYM,"Educational attainment, at least Bachelor's or equivalent, population 25+, total (%) (cumulative)",SE.TER.CUAT.BA.ZS,..
Cayman Islands,CYM,"Employment to population ratio, 15+, total (%) (national estimate)",SL.EMP.TOTL.SP.NE.ZS,77.61
Central African Republic,CAF,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,4.630818432
Central African Republic,CAF,"Population ages 15-64, total",SP.POP.1564.TO,2421653
Central African Republic,CAF,Arable land (hectares per person),AG.LND.ARBL.HA.PC,0.393556573
Central African Republic,CAF,"Educational attainment, at least Bachelor's or equivalent, population 25+, total (%) (cumulative)",SE.TER.CUAT.BA.ZS,..
Central African Republic,CAF,"Employment to population ratio, 15+, total (%) (national estimate)",SL.EMP.TOTL.SP.NE.ZS,..
Chad,TCD,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,13.55010086
Chad,TCD,"Population ages 15-64, total",SP.POP.1564.TO,5848080
Chad,TCD,Arable land (hectares per person),AG.LND.ARBL.HA.PC,0.353097637
Chad,TCD,"Educational attainment, at least Bachelor's or equivalent, population 25+, total (%) (cumulative)",SE.TER.CUAT.BA.ZS,..
Chad,TCD,"Employment to population ratio, 15+, total (%) (national estimate)",SL.EMP.TOTL.SP.NE.ZS,..
Channel Islands,CHI,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,..
Channel Islands,CHI,"Population ages 15-64, total",SP.POP.1564.TO,108347
Channel Islands,CHI,Arable land (hectares per person),AG.LND.ARBL.HA.PC,0.02746395
Channel Islands,CHI,"Educational attainment, at least Bachelor's or equivalent, population 25+, total (%) (cumulative)",SE.TER.CUAT.BA.ZS,..
Channel Islands,CHI,"Employment to population ratio, 15+, total (%) (national estimate)",SL.EMP.TOTL.SP.NE.ZS,..
Chile,CHL,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,5.851651017
Chile,CHL,"Population ages 15-64, total",SP.POP.1564.TO,11686611
Chile,CHL,Arable land (hectares per person),AG.LND.ARBL.HA.PC,0.074862789
Chile,CHL,"Educational attainment, at least Bachelor's or equivalent, population 25+, total (%) (cumulative)",SE.TER.CUAT.BA.ZS,..
Chile,CHL,"Employment to population ratio, 15+, total (%) (national estimate)",SL.EMP.TOTL.SP.NE.ZS,55.209
China,CHN,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,10.63587107
China,CHN,"Population ages 15-64, total",SP.POP.1564.TO,975573269
China,CHN,Arable land (hectares per person),AG.LND.ARBL.HA.PC,0.089804778
China,CHN,"Educational attainment, at least Bachelor's or equivalent, population 25+, total (%) (cumulative)",SE.TER.CUAT.BA.ZS,3.57765007
China,CHN,"Employment to population ratio, 15+, total (%) (national estimate)",SL.EMP.TOTL.SP.NE.ZS,69.18
Colombia,COL,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,4.494658971
Colombia,COL,"Population ages 15-64, total",SP.POP.1564.TO,30005339
Colombia,COL,Arable land (hectares per person),AG.LND.ARBL.HA.PC,0.039338534
Colombia,COL,"Educational attainment, at least Bachelor's or equivalent, population 25+, total (%) (cumulative)",SE.TER.CUAT.BA.ZS,9.47192955
Colombia,COL,"Employment to population ratio, 15+, total (%) (national estimate)",SL.EMP.TOTL.SP.NE.ZS,59.598
Comoros,COM,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,3.77776675
Comoros,COM,"Population ages 15-64, total",SP.POP.1564.TO,352544
Comoros,COM,Arable land (hectares per person),AG.LND.ARBL.HA.PC,0.099081741
Comoros,COM,"Educational attainment, at least Bachelor's or equivalent, population 25+, total (%) (cumulative)",SE.TER.CUAT.BA.ZS,..
Comoros,COM,"Employment to population ratio, 15+, total (%) (national estimate)",SL.EMP.TOTL.SP.NE.ZS,..
"Congo, Dem. Rep.",COD,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,7.107976576
"Congo, Dem. Rep.",COD,"Population ages 15-64, total",SP.POP.1564.TO,33676139
"Congo, Dem. Rep.",COD,Arable land (hectares per person),AG.LND.ARBL.HA.PC,0.137277112
"Congo, Dem. Rep.",COD,"Educational attainment, at least Bachelor's or equivalent, population 25+, total (%) (cumulative)",SE.TER.CUAT.BA.ZS,..
"Congo, Dem. Rep.",COD,"Employment to population ratio, 15+, total (%) (national estimate)",SL.EMP.TOTL.SP.NE.ZS,..
"Congo, Rep.",COG,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,9.931265431
"Congo, Rep.",COG,"Population ages 15-64, total",SP.POP.1564.TO,2518588
"Congo, Rep.",COG,Arable land (hectares per person),AG.LND.ARBL.HA.PC,0.114919633
"Congo, Rep.",COG,"Educational attainment, at least Bachelor's or equivalent, population 25+, total (%) (cumulative)",SE.TER.CUAT.BA.ZS,..
"Congo, Rep.",COG,"Employment to population ratio, 15+, total (%) (national estimate)",SL.EMP.TOTL.SP.NE.ZS,..
Costa Rica,CRI,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,5.360343477
Costa Rica,CRI,"Population ages 15-64, total",SP.POP.1564.TO,3135435
Costa Rica,CRI,Arable land (hectares per person),AG.LND.ARBL.HA.PC,0.048677571
Costa Rica,CRI,"Educational attainment, at least Bachelor's or equivalent, population 25+, total (%) (cumulative)",SE.TER.CUAT.BA.ZS,..
Costa Rica,CRI,"Employment to population ratio, 15+, total (%) (national estimate)",SL.EMP.TOTL.SP.NE.ZS,54.968
Cote d'Ivoire,CIV,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,6.848049399
Cote d'Ivoire,CIV,"Population ages 15-64, total",SP.POP.1564.TO,11295774
Cote d'Ivoire,CIV,Arable land (hectares per person),AG.LND.ARBL.HA.PC,0.137310333
Cote d'Ivoire,CIV,"Educational attainment, at least Bachelor's or equivalent, population 25+, total (%) (cumulative)",SE.TER.CUAT.BA.ZS,..
Cote d'Ivoire,CIV,"Employment to population ratio, 15+, total (%) (national estimate)",SL.EMP.TOTL.SP.NE.ZS,..
Croatia,HRV,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,-1.243071346
Croatia,HRV,"Population ages 15-64, total",SP.POP.1564.TO,2869698
Croatia,HRV,Arable land (hectares per person),AG.LND.ARBL.HA.PC,0.210549498
Croatia,HRV,"Educational attainment, at least Bachelor's or equivalent, population 25+, total (%) (cumulative)",SE.TER.CUAT.BA.ZS,..
Croatia,HRV,"Employment to population ratio, 15+, total (%) (national estimate)",SL.EMP.TOTL.SP.NE.ZS,46.474
Cuba,CUB,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,2.390352297
Cuba,CUB,"Population ages 15-64, total",SP.POP.1564.TO,7857563
Cuba,CUB,Arable land (hectares per person),AG.LND.ARBL.HA.PC,0.299723208
Cuba,CUB,"Educational attainment, at least Bachelor's or equivalent, population 25+, total (%) (cumulative)",SE.TER.CUAT.BA.ZS,..
Cuba,CUB,"Employment to population ratio, 15+, total (%) (national estimate)",SL.EMP.TOTL.SP.NE.ZS,53.63
Curacao,CUW,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,0.082306609
Curacao,CUW,"Population ages 15-64, total",SP.POP.1564.TO,98580
Curacao,CUW,Arable land (hectares per person),AG.LND.ARBL.HA.PC,..
Curacao,CUW,"Educational attainment, at least Bachelor's or equivalent, population 25+, total (%) (cumulative)",SE.TER.CUAT.BA.ZS,..
Curacao,CUW,"Employment to population ratio, 15+, total (%) (national estimate)",SL.EMP.TOTL.SP.NE.ZS,..
Cyprus,CYP,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,2.014695707
Cyprus,CYP,"Population ages 15-64, total",SP.POP.1564.TO,810597
Cyprus,CYP,Arable land (hectares per person),AG.LND.ARBL.HA.PC,0.073117663
Cyprus,CYP,"Educational attainment, at least Bachelor's or equivalent, population 25+, total (%) (cumulative)",SE.TER.CUAT.BA.ZS,..
Cyprus,CYP,"Employment to population ratio, 15+, total (%) (national estimate)",SL.EMP.TOTL.SP.NE.ZS,60.246
Czechia,CZE,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,2.434902159
Czechia,CZE,"Population ages 15-64, total",SP.POP.1564.TO,7346295
Czechia,CZE,Arable land (hectares per person),AG.LND.ARBL.HA.PC,0.243252842
Czechia,CZE,"Educational attainment, at least Bachelor's or equivalent, population 25+, total (%) (cumulative)",SE.TER.CUAT.BA.ZS,..
Czechia,CZE,"Employment to population ratio, 15+, total (%) (national estimate)",SL.EMP.TOTL.SP.NE.ZS,54.188
Denmark,DNK,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1.870991147
Denmark,DNK,"Population ages 15-64, total",SP.POP.1564.TO,3629335
Denmark,DNK,Arable land (hectares per person),AG.LND.ARBL.HA.PC,0.436398403
Denmark,DNK,"Educational attainment, at least Bachelor's or equivalent, population 25+, total (%) (cumulative)",SE.TER.CUAT.BA.ZS,..
Denmark,DNK,"Employment to population ratio, 15+, total (%) (national estimate)",SL.EMP.TOTL.SP.NE.ZS,58.578
Djibouti,DJI,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,..
Djibouti,DJI,"Population ages 15-64, total",SP.POP.1564.TO,553210
